Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend,Rolling Mean,Bollinger High,Bollinger Low
2019-08-22,222.800003,225.399994,218.220001,222.149994,222.149994,6559000,8,2019,5.085146785765748,Among Top Gainers,224.4778552142855,243.68925950571423,205.2664509228568
2019-08-21,222.00999500000003,223.220001,217.600006,220.830002,220.830002,7794300,8,2019,-0.5941895276395881,Slight Negative,222.60142635714266,236.76264112008286,208.44021159420245
2019-08-20,227.619995,229.089996,224.539993,225.860001,225.860001,4125200,8,2019,2.277769757027848,Positive,221.90999835714268,234.16716324453955,209.65283346974581
2019-08-19,224.210007,227.830002,221.699997,226.830002,226.830002,5309600,8,2019,0.4294700237781557,Slight or No Change,221.55571328571412,232.83003655637359,210.28139001505465
2019-08-16,216.660004,222.240005,216.020004,219.940002,219.940002,5098500,8,2019,-3.0375170564959086,Among Top Losers,221.01928507142838,231.78887268133147,210.2496974615253
2019-08-15,220.860001,221.559998,211.550003,215.639999,215.639999,8159600,8,2019,-1.9550800040458167,Negative,220.02357057142837,229.92646272665982,210.1206784161969
2019-08-14,231.210007,231.5,216.690002,219.619995,219.619995,9562600,8,2019,1.8456668607200302,Positive,219.9478564285712,229.8453365021298,210.05037635501262
2019-08-13,228.809998,236.0,227.550003,235.0,235.0,4848100,8,2019,7.003007626878398,Bull Run,220.6614282142855,233.2151105651706,208.10774586340042
2019-08-12,232.990005,235.770004,228.75,229.00999500000003,229.00999500000003,4663900,8,2019,-2.5489382978723274,Negative,220.90428492857123,233.9906023894343,207.81796746770817
2019-08-09,236.050003,238.960007,233.809998,235.00999500000003,235.00999500000003,3898200,8,2019,2.619972984148577,Positive,221.85428407142834,236.96673366764279,206.7418344752139
2019-08-08,234.449997,239.800003,232.649994,238.300003,238.300003,5274300,8,2019,1.399943861962094,Positive,223.47642742857118,240.45275855919505,206.50009629794732
2019-08-07,226.5,233.570007,225.800003,233.419998,233.419998,4776500,8,2019,-2.047840930996536,Negative,224.85785571428545,241.6873296581476,208.0283817704233
2019-08-06,231.880005,232.5,225.75,230.75,230.75,5564200,8,2019,-1.1438600046599243,Negative,225.98285571428545,242.06268228231488,209.90302914625602
2019-08-05,229.600006,231.369995,225.77999900000003,228.320007,228.320007,7028300,8,2019,-1.0530847237269825,Negative,227.1914280714283,240.92153013108856,213.46132601176805
2019-08-02,231.350006,236.270004,229.229996,234.339996,234.339996,6136500,8,2019,2.636645416711114,Positive,228.06214249999974,241.9601001657351,214.16418483426438
2019-08-01,242.649994,244.50999500000003,231.770004,233.850006,233.850006,8259500,8,2019,-0.20909362821700528,Slight or No Change,228.99214278571404,242.5435819814742,215.44070358995387
2019-07-31,243.0,246.679993,236.649994,241.610001,241.610001,9178200,7,2019,3.3183642509720497,Among Top Gainers,230.11714278571404,245.0890772750614,215.14520829636666
2019-07-30,232.899994,243.360001,232.179993,242.25999500000003,242.25999500000003,8109000,7,2019,0.269026115355242,Slight or No Change,231.21928514285688,247.3738623855735,215.06470790014026
2019-07-29,227.089996,235.940002,226.02999900000003,235.770004,235.770004,9273300,7,2019,-2.6789363221113027,Negative,232.3499995714283,247.27278845678202,217.42721068607457
2019-07-26,226.919998,230.25999500000003,222.25,228.039993,228.039993,10027700,7,2019,-3.278623603026276,Among Top Losers,233.23571342857116,245.03024256990867,221.44118428723365
2019-07-25,233.5,234.5,225.550003,228.820007,228.820007,22418300,7,2019,0.34205140499190545,Slight or No Change,233.89285714285685,243.1776739844964,224.6080403012173
2019-07-24,259.170013,266.070007,258.160004,264.880005,264.880005,11072800,7,2019,15.75911060958932,Bull Run,236.02714321428542,255.04438653002532,217.0098998985455
2019-07-23,256.709991,260.480011,254.5,260.170013,260.170013,5023100,7,2019,-1.7781606429673746,Negative,238.25285878571398,260.71421000873556,215.79150756269237
2019-07-22,258.75,262.149994,254.190002,255.679993,255.679993,6842400,7,2019,-1.7258022737616452,Negative,239.72928721428545,263.92296750612456,215.53560692244633
2019-07-19,255.690002,259.959991,254.619995,258.179993,258.179993,7048400,7,2019,0.9777847576833976,Slight Positive,241.14928649999976,267.24079504342546,215.05777795657406
2019-07-18,255.050003,255.75,251.889999,253.539993,253.539993,4764500,7,2019,-1.7971958036268163,Negative,242.58642899999975,269.0576881062107,216.1151698937888
2019-07-17,255.669998,258.309998,253.350006,254.860001,254.860001,9764700,7,2019,0.5206310785060175,Slight Positive,244.30857192857118,270.5991564737223,218.01798738342006
2019-07-16,249.300003,253.52999900000003,247.929993,252.380005,252.380005,8149000,7,2019,-0.973081688091182,Slight Negative,246.02714321428547,270.92415086743324,221.1301355611377
2019-07-15,248.0,254.419998,244.860001,253.5,253.5,11000100,7,2019,0.4437732695979689,Slight or No Change,247.39571492857118,271.6227218345608,223.1687080225815
2019-07-12,239.75,245.380005,239.710007,245.080002,245.080002,9200500,7,2019,-3.3214982248520712,Among Top Losers,248.19785749999977,271.2058747976271,225.18984020237247
2019-07-11,238.139999,241.5,235.800003,238.600006,238.600006,7514400,7,2019,-2.644032947249608,Negative,247.98285785714262,271.31009876489605,224.65561694938916
2019-07-10,234.149994,238.940002,233.139999,238.919998,238.919998,9145700,7,2019,0.13411231850513072,Slight or No Change,247.7442866428569,271.38979680093155,224.09877648478226
2019-07-09,228.970001,231.0,227.27999900000003,230.059998,230.059998,6190800,7,2019,-3.708354291883087,Among Top Losers,247.33642907142834,272.0447567885772,222.62810135427947
2019-07-08,231.240005,232.25,228.660004,230.339996,230.339996,5880500,7,2019,0.1217065124029082,Slight or No Change,247.50071499999981,271.68130590925745,223.32012409074218
2019-07-05,234.570007,235.449997,230.800003,233.100006,233.100006,7065700,7,2019,1.1982330676084674,Positive,247.80642921428554,271.06008921492815,224.55276921364296
2019-07-03,239.389999,241.570007,234.50999500000003,234.899994,234.899994,14201100,7,2019,0.7721956043192924,Slight Positive,245.66499985714267,267.63175999275165,223.69823972153372
2019-07-02,228.889999,229.149994,222.220001,224.550003,224.550003,9259000,7,2019,-4.406126549326362,Among Top Losers,243.12071342857124,266.0793415586805,220.162085298462
2019-07-01,230.210007,233.100006,226.27999900000003,227.169998,227.169998,8238000,7,2019,1.166775758181582,Positive,241.0842852142855,264.30033887335054,217.8682315552205
2019-06-28,220.990005,225.169998,220.800003,223.460007,223.460007,6851400,6,2019,-1.6331342310440091,Negative,238.6042862142855,261.366928731539,215.841643697032
2019-06-27,219.449997,222.899994,217.350006,222.839996,222.839996,6339700,6,2019,-0.27745949189019736,Slight or No Change,236.4114292857141,258.88921294554973,213.93364562587846
2019-06-26,220.309998,227.229996,218.100006,219.270004,219.270004,8507200,6,2019,-1.6020427499917833,Negative,233.86928664285693,255.38900052310694,212.34957276260693
2019-06-25,224.389999,225.339996,219.490005,219.75999500000003,219.75999500000003,6182100,6,2019,0.22346467417404536,Slight or No Change,231.53928592857122,251.42735384572387,211.65121801141856
2019-06-24,223.240005,225.860001,221.020004,223.639999,223.639999,5750800,6,2019,1.7655642920814565,Positive,229.4064287142855,245.11461570953466,213.69824171903636
2019-06-21,216.220001,222.179993,215.5,221.860001,221.860001,8202100,6,2019,-0.7959211267927202,Slight Negative,227.7478572142855,241.04567473930447,214.4500396892665
2019-06-20,223.0,226.899994,216.350006,219.619995,219.619995,11863500,6,2019,-1.0096484223850566,Negative,226.39214214285693,238.76165011711277,214.0226341686011
2019-06-19,225.110001,227.770004,221.059998,226.429993,226.429993,6575100,6,2019,3.1008096507788347,Among Top Gainers,225.49999892857122,235.5640515082266,215.43594634891582
2019-06-18,228.720001,234.740005,222.559998,224.740005,224.740005,12715800,6,2019,-0.7463622542266513,Slight Negative,225.11999942857122,234.838168868729,215.40182998841343
2019-06-17,215.479996,227.0,214.270004,225.02999900000003,225.02999900000003,12316800,6,2019,0.1290353268435851,Slight or No Change,224.7407139285712,233.98417127582337,215.49725658131905
2019-06-14,211.25,216.649994,210.399994,214.919998,214.919998,7433400,6,2019,-4.492734766443308,Among Top Losers,223.44214192857117,232.734745028137,214.14953882900534
2019-06-13,210.380005,214.899994,207.509995,213.910004,213.910004,8168300,6,2019,-0.469939516749851,Slight or No Change,221.9428569285712,229.95735988702793,213.92835397011444
2019-06-12,222.949997,223.380005,209.0,209.259995,209.259995,15186200,6,2019,-2.1738155827438543,Negative,220.85071349999976,231.17042923449478,210.53099776550474
2019-06-11,219.139999,220.899994,213.5,217.100006,217.100006,11653500,6,2019,3.746540756631478,Among Top Gainers,220.13142835714262,229.94515479212012,210.31770192216513
