Date,Open,High,Low,Close,Adj Close,Volume,Month,Year,Percent Change,Trend
2019-07-02,228.88999900000002,229.149994,222.22000099999997,224.55000299999998,224.55000299999998,9259000,7,2019,-4.406126549326361,Among Top Losers
2019-07-01,230.210007,233.100006,226.27999900000003,227.169998,227.169998,8238000,7,2019,1.1667757581815819,Positive
2019-06-28,220.99000499999997,225.169998,220.80000299999998,223.460007,223.460007,6851400,6,2019,-1.633134231044009,Negative
2019-06-27,219.44999700000002,222.899994,217.350006,222.83999599999999,222.83999599999999,6339700,6,2019,-0.27745949189019736,Slight or No Change
2019-06-26,220.309998,227.229996,218.100006,219.270004,219.270004,8507200,6,2019,-1.6020427499917833,Negative
2019-06-25,224.38999900000002,225.33999599999999,219.49000499999997,219.75999500000003,219.75999500000003,6182100,6,2019,0.22346467417404536,Slight or No Change
2019-06-24,223.24000499999997,225.86000099999998,221.020004,223.63999900000002,223.63999900000002,5750800,6,2019,1.7655642920814563,Positive
2019-06-21,216.22000099999997,222.17999300000002,215.5,221.86000099999998,221.86000099999998,8202100,6,2019,-0.7959211267927202,Slight Negative
2019-06-20,223.0,226.899994,216.350006,219.61999500000002,219.61999500000002,11863500,6,2019,-1.0096484223850566,Negative
2019-06-19,225.11000099999998,227.770004,221.059998,226.42999300000002,226.42999300000002,6575100,6,2019,3.100809650778835,Among Top Gainers
2019-06-18,228.72000099999997,234.74000499999997,222.559998,224.74000499999997,224.74000499999997,12715800,6,2019,-0.7463622542266513,Slight Negative
2019-06-17,215.479996,227.0,214.270004,225.02999900000003,225.02999900000003,12316800,6,2019,0.1290353268435851,Slight or No Change
2019-06-14,211.25,216.649994,210.399994,214.919998,214.919998,7433400,6,2019,-4.4927347664433075,Among Top Losers
2019-06-13,210.38000499999998,214.899994,207.509995,213.91000400000001,213.91000400000001,8168300,6,2019,-0.469939516749851,Slight or No Change
2019-06-12,222.94999700000002,223.38000499999998,209.0,209.259995,209.259995,15186200,6,2019,-2.1738155827438543,Negative
2019-06-11,219.13999900000002,220.899994,213.5,217.100006,217.100006,11653500,6,2019,3.746540756631478,Among Top Gainers
2019-06-10,210.25,216.940002,209.009995,212.88000499999998,212.88000499999998,10585000,6,2019,-1.9438051051919425,Negative
2019-06-07,205.0,210.83999599999999,203.5,204.5,204.5,16003500,6,2019,-3.936492297620897,Among Top Losers
2019-06-06,204.440002,211.0,201.800003,205.949997,205.949997,20242200,6,2019,0.7090449877750649,Slight Positive
2019-06-05,198.679993,201.279999,191.850006,196.58999599999999,196.58999599999999,13510800,6,2019,-4.544792977103085,Among Top Losers
2019-06-04,181.100006,193.979996,179.610001,193.600006,193.600006,13807500,6,2019,-1.5209268329198111,Negative
2019-06-03,185.509995,186.679993,176.990005,178.970001,178.970001,13064400,6,2019,-7.55682053026383,Bear Drop
2019-05-31,185.100006,189.919998,184.100006,185.16000400000001,185.16000400000001,10406700,5,2019,3.458681882669268,Among Top Gainers
2019-05-30,188.75,192.259995,187.020004,188.220001,188.220001,7926500,5,2019,1.652623101045081,Positive
2019-05-29,187.100006,192.389999,185.03999299999998,189.860001,189.860001,11968600,5,2019,0.8713207901853259,Slight Positive
2019-05-28,191.199997,195.0,187.850006,188.699997,188.699997,10312900,5,2019,-0.6109786126041405,Slight Negative
2019-05-24,199.830002,199.979996,188.75,190.630005,190.630005,14136600,5,2019,1.0227917491699934,Positive
2019-05-23,194.33999599999999,199.470001,186.220001,195.490005,195.490005,26547100,5,2019,2.54944125926031,Positive
2019-05-22,199.100006,203.940002,191.779999,192.729996,192.729996,18685200,5,2019,-1.4118414903104615,Negative
2019-05-21,197.759995,207.399994,196.03999299999998,205.080002,205.080002,18003900,5,2019,6.407931435851855,Among Top Gainers
2019-05-20,202.800003,206.0,195.25,205.360001,205.360001,20526200,5,2019,0.13653159609390286,Slight or No Change
2019-05-17,221.960007,222.24000499999997,208.919998,211.02999900000003,211.02999900000003,17786700,5,2019,2.7610040769331823,Positive
2019-05-16,229.49000499999997,231.0,226.5,228.330002,228.330002,7483300,5,2019,8.197888016859611,Bull Run
2019-05-15,229.32000699999998,232.440002,225.25,231.94999700000002,231.94999700000002,7296000,5,2019,1.5854224010386497,Positive
2019-05-14,229.30000299999998,234.5,228.0,232.309998,232.309998,7252400,5,2019,0.1552062964674139,Slight or No Change
2019-05-13,232.00999500000003,232.47000099999997,224.5,227.00999500000003,227.00999500000003,10834800,5,2019,-2.2814356014070336,Negative
2019-05-10,239.75,241.99000499999997,236.020004,239.520004,239.520004,7008300,5,2019,5.510774536601337,Among Top Gainers
2019-05-09,242.0,243.67999300000002,236.940002,241.979996,241.979996,6711400,5,2019,1.0270507510512505,Positive
2019-05-08,246.940002,250.600006,244.19999700000002,244.83999599999999,244.83999599999999,6176400,5,2019,1.1819158803523466,Positive
2019-05-07,256.799988,257.209991,245.100006,247.059998,247.059998,10131400,5,2019,0.9067154207926142,Slight Positive
2019-05-06,250.020004,258.350006,248.5,255.33999599999999,255.33999599999999,10833900,5,2019,3.3514118299312834,Among Top Gainers
2019-05-03,243.86000099999998,256.609985,243.49000499999997,255.02999900000003,255.02999900000003,23706800,5,2019,-0.1214055787797319,Slight or No Change
2019-05-02,245.520004,247.13000499999998,237.72000099999997,244.100006,244.100006,18159300,5,2019,-4.2857675735629925,Among Top Losers
2019-05-01,238.850006,240.0,231.5,234.00999500000003,234.00999500000003,10704400,5,2019,-4.133556227770008,Among Top Losers
2019-04-30,242.059998,244.210007,237.0,238.690002,238.690002,9464600,4,2019,1.9999175676235437,Positive
2019-04-29,235.86000099999998,243.979996,232.169998,241.47000099999997,241.47000099999997,16714500,4,2019,1.1646901741615423,Positive
2019-04-26,246.5,246.67999300000002,231.13000499999998,235.13999900000002,235.13999900000002,22360700,4,2019,-2.6214444750012444,Negative
2019-04-25,255.0,259.0,246.07000699999998,247.63000499999998,247.63000499999998,21849400,4,2019,5.311731756875604,Among Top Gainers
2019-04-24,263.850006,265.320007,258.0,258.660004,258.660004,10727500,4,2019,4.4542255693125865,Among Top Gainers
2019-04-23,260.149994,265.600006,255.75,263.899994,263.899994,10943900,4,2019,2.025821510464354,Positive
2019-04-22,269.0,269.679993,262.480011,262.75,262.75,12147100,4,2019,-0.4357688617454003,Slight or No Change
2019-04-18,271.230011,274.839996,269.75,273.26001,273.26001,5876300,4,2019,4.000003805899155,Among Top Gainers
2019-04-17,274.75,274.790009,268.540009,271.230011,271.230011,5126500,4,2019,-0.7428818435599283,Slight Negative
2019-04-16,265.75,275.0,264.72000099999997,273.359985,273.359985,7272900,4,2019,0.7853017415539565,Slight Positive
2019-04-15,268.630005,268.880005,258.630005,266.380005,266.380005,10038600,4,2019,-2.5534022472235685,Negative
2019-04-12,270.22000099999997,271.950012,266.829987,267.700012,267.700012,6746000,4,2019,0.495535316173612,Slight or No Change
2019-04-11,268.299988,270.5,265.600006,268.420013,268.420013,9835900,4,2019,0.26895815006535706,Slight or No Change
2019-04-10,276.73999,278.380005,272.890015,276.059998,276.059998,7061300,4,2019,2.8462799456015375,Positive
2019-04-09,271.649994,275.0,269.609985,272.309998,272.309998,5904000,4,2019,-1.3584003575918269,Negative
2019-04-08,277.690002,281.160004,270.440002,273.200012,273.200012,10410400,4,2019,0.3268385320174705,Slight or No Change
2019-04-05,269.859985,276.100006,266.109985,274.959991,274.959991,13038300,4,2019,0.6442089760962277,Slight Positive
2019-04-04,261.890015,271.200012,260.589996,267.77999900000003,267.77999900000003,23720700,4,2019,-2.611286090709819,Negative
